episode;score;step;time;apples;mines;end
1;1.1099999999999999;14;2.963017702102661;100.0;50.0;100.0
2;-16.68;100;20.441988706588745;33.33333333333333;50.0;0.0
3;0.13;12;2.4576306343078613;33.33333333333333;0.0;100.0
4;-0.9299999999999995;16;3.279337167739868;33.33333333333333;0.0;100.0
5;-17.000000000000004;100;20.471903562545776;0.0;0.0;0.0
6;0.12999999999999967;12;2.4553256034851074;33.33333333333333;0.0;100.0
7;-0.27;18;3.6794750690460205;66.66666666666666;0.0;100.0
8;1.2799999999999998;17;3.482520341873169;60.0;0.0;100.0
9;0.2999999999999998;11;2.2509148120880127;33.33333333333333;0.0;100.0
10;-17.000000000000004;100;20.44769549369812;0.0;0.0;0.0
11;2.73;18;3.6854140758514404;100.0;0.0;100.0
12;-1.2699999999999996;18;3.68512225151062;33.33333333333333;0.0;100.0
13;0.73;18;3.6858911514282227;60.0;0.0;100.0
14;1.1299999999999997;12;2.4578778743743896;40.0;0.0;100.0
15;-14.379999999999995;100;20.46431040763855;60.0;0.0;0.0
16;0.6199999999999998;15;3.0744717121124268;66.66666666666666;0.0;100.0
17;-17.000000000000004;100;20.464301347732544;0.0;0.0;0.0
18;0.3699999999999999;12;2.457697868347168;50.0;0.0;100.0
19;1.4099999999999995;14;2.8635671138763428;75.0;0.0;100.0
20;-0.9299999999999995;16;3.270991086959839;25.0;0.0;100.0
