episode;score;step;time;apples;mines;end
1;0,835;12;0,8108770847320557;0,0;0,0;100,0
2;1,02;14;0,6753840446472168;25,0;0,0;100,0
3;1,02;14;0,67742919921875;25,0;0,0;100,0
4;0,7749999999999999;16;0,814399242401123;0,0;0,0;100,0
5;0,835;12;0,5577061176300049;0,0;0,0;100,0
6;1,25;13;0,618602991104126;50,0;0,0;100,0
7;0,835;12;0,5613412857055664;0,0;0,0;100,0
8;1,28;11;0,5259830951690674;66,66666666666666;0,0;100,0
9;1,22;15;0,6967911720275879;50,0;0,0;100,0
10;0,835;12;0,5474576950073242;0,0;0,0;100,0
11;-1,4999999999999976;100;4,820340871810913;0,0;0,0;0,0
12;0,96;18;0,8366529941558838;33,33333333333333;0,0;100,0
13;0,7749999999999999;16;0,7797818183898926;0,0;0,0;100,0
14;0,85;11;0,49820709228515625;0,0;0,0;100,0
15;0,99;16;0,7512049674987793;25,0;0,0;100,0
16;1,2049999999999998;16;0,7867400646209717;50,0;0,0;100,0
17;1,02;14;0,6635591983795166;25,0;0,0;100,0
18;1,02;14;0,7150089740753174;25,0;0,0;100,0
19;1,065;11;0,5138018131256104;25,0;0,0;100,0
20;0,7749999999999999;16;0,770474910736084;0,0;0,0;100,0
