episode;score;step;time;apples;mines;end
1;-19,020000000000017;69;0,08734798431396484;0,0;0,0;0,0
2;-1,55;2;0,004269838333129883;0,0;0,0;0,0
3;-2,6500000000000004;4;0,0035309791564941406;0,0;0,0;0,0
4;-2,6500000000000004;4;0,00663304328918457;0,0;0,0;0,0
5;-1,8900000000000001;4;0,003348827362060547;0,0;0,0;0,0
6;-2,6500000000000004;4;0,004899024963378906;0,0;0,0;0,0
7;-9,549999999999999;20;0,02558612823486328;0,0;0,0;0,0
8;-1,51;4;0,005295753479003906;0,0;0,0;0,0
9;-1,6800000000000002;5;0,03918313980102539;0,0;0,0;0,0
10;-3,2;5;0,017232179641723633;0,0;0,0;0,0
11;-1,8900000000000001;4;0,005661964416503906;0,0;0,0;0,0
12;-1,34;3;0,009977102279663086;0,0;0,0;0,0
13;-6,969999999999999;16;0,021975040435791016;0,0;0,0;0,0
14;-3,46;11;0,017083168029785156;0,0;0,0;0,0
15;-5,449999999999999;16;0,014653921127319336;0,0;0,0;0,0
16;-1,55;2;0,0028188228607177734;0,0;0,0;0,0
17;-2,6100000000000003;6;0,008805036544799805;0,0;0,0;0,0
18;-6,859999999999998;29;0,03350687026977539;60,0;33,33333333333333;0,0
19;-2,8200000000000003;5;0,005772113800048828;0,0;0,0;0,0
20;-1,0;1;0,0010869503021240234;0,0;0,0;0,0
